firm_id,year,industry_type,firm_strategy,firm_size,firm_age,ceo_experience,ceo_tenure,prior_tech_adoption,tech_budget_pct,digital_transformation_program,market_conditions,revenue,revenue_growth,operating_costs,rd_spending,productivity_score,employee_satisfaction,customer_satisfaction,profit_margin,rd_intensity,large_firm,post_2020
1,2018,Real Estate,Customer Intimacy,555,20,2.9060093111603758,3.5,0,0.039,0,0.216,1079201.2546821453,0.1103,510035.91,23287.33,76.756276216606,4.093571649371568,3.868736011018496,0.282123765844753,0.0327769485170769,0,0
1,2019,Real Estate,Customer Intimacy,551,21,2.9060093111603758,3.5,0,0.039,0,0.163,907120.0446821454,-0.2207,456817.67,19695.37,28.656276216605995,3.7035716493715682,3.428736011018496,0.1515237027024337,0.036581454065701,0,0
1,2020,Real Estate,Customer Intimacy,554,22,2.9060093111603758,3.5,0,0.039,0,-0.251,803272.1546821452,-0.0323,333413.45,5980.95,21.256276216605993,2.4535716493715682,3.588736011018496,0.2327382093545597,0.0137635551498022,0,1
1,2021,Real Estate,Customer Intimacy,639,23,2.9060093111603758,3.5,0,0.039,0,-0.008,806395.7546821453,-0.0934,334508.75,9428.38,18.756276216605993,4.723571649371569,3.518736011018496,0.2357114742570938,0.0215420453137441,0,1
1,2022,Real Estate,Customer Intimacy,686,24,2.9060093111603758,3.5,0,0.039,0,0.008,891169.7846821452,-0.0317,412708.21,8216.53,52.256276216606,4.353571649371569,4.678736011018496,0.210048333667721,0.015726998900674,0,1
1,2023,Real Estate,Customer Intimacy,678,25,2.9060093111603758,3.5,0,0.039,0,-0.158,766294.2146821453,-0.0463,333182.38,24905.16,46.456276216606,2.6135716493715684,3.568736011018496,0.1619568135923103,0.0626431675180222,0,1
2,2018,Technology,Differentiation,5075,15,16.40600931116038,2.0,0,0.044,0,-0.005,4772591.964682145,-0.0498,3171118.15,314438.51,55.556276216605994,3.9935716493715683,4.138736011018496,0.279924603126305,0.0714005042292805,1,0
2,2019,Technology,Differentiation,4098,16,16.40600931116038,2.0,0,0.044,1,0.068,5983111.584682145,0.1912,4251695.8,99768.31,81.256276216606,3.6735716493715684,3.998736011018496,0.242714455055184,0.0177701092835882,1,0
2,2020,Technology,Differentiation,5135,17,16.40600931116038,2.0,0,0.044,1,-0.279,6013660.124682145,0.3211,3820930.33,342426.58,67.556276216606,4.563571649371569,4.748736011018496,0.3231226822242234,0.0606608247174013,1,1
2,2021,Technology,Differentiation,4871,18,16.40600931116038,2.0,0,0.044,1,0.029,11402521.864682145,0.3441,7706746.09,458121.14,60.556276216605994,3.873571649371568,4.228736011018496,0.3015328862917982,0.0415197992314433,1,1
2,2022,Technology,Differentiation,4493,19,16.40600931116038,2.0,0,0.044,1,-0.238,6005619.334682145,0.1354,4611988.72,105432.03,51.15627621660599,5.033571649371568,4.518736011018496,0.1818213558726797,0.0187039129083106,1,1
2,2023,Technology,Differentiation,5559,20,16.40600931116038,2.0,0,0.044,1,0.013,8038848.924682145,0.1175,5938825.18,104846.3,61.256276216606,4.103571649371569,4.298736011018496,0.225720053829203,0.013669435462353,1,1
3,2018,Energy,Operational Excellence,262,11,31.20600931116038,2.1,0,0.1,0,-0.264,528060.8346821453,0.0112,117511.63,5899.97,31.556276216605998,3.123571649371568,4.938736011018496,0.2625030854130832,0.0370279066944724,0,0
3,2019,Energy,Operational Excellence,233,12,31.20600931116038,2.1,0,0.1,0,0.05,584006.8946821452,-0.0142,180708.24,17571.09,27.256276216605993,5.033571649371568,3.478736011018496,0.1606074063937618,0.0816179871354435,0,0
3,2020,Energy,Operational Excellence,238,13,31.20600931116038,2.1,0,0.1,0,-0.17,586199.0046821453,0.0888,157734.55,12860.71,42.956276216606,3.9335716493715682,3.698736011018496,0.2747057798943372,0.0591360524974084,0,1
3,2021,Energy,Operational Excellence,260,14,31.20600931116038,2.1,0,0.1,1,0.048,739314.8046821452,0.183,244469.93,15932.46,59.65627621660599,2.4935716493715683,4.958736011018496,0.3403267211819,0.0429918645938918,0,1
3,2022,Energy,Operational Excellence,236,15,31.20600931116038,2.1,0,0.1,1,-0.263,601945.4546821453,0.1012,154532.55,3288.28,102.556276216606,3.5235716493715685,5.018736011018496,0.3374045854550679,0.014099290083156,0,1
3,2023,Energy,Operational Excellence,286,16,31.20600931116038,2.1,0,0.1,1,-0.108,916950.8746821452,0.2426,417881.45,7373.9,76.756276216606,5.033571649371568,4.168736011018496,0.2377604550336136,0.0134504132227636,0,1
4,2018,Financial Services,Cost Leadership,1227,36,17.806009311160377,5.6,0,0.022,1,0.006,1894719.6246821452,0.0899,1070028.56,39913.28,53.35627621660599,3.913571649371568,3.138736011018496,0.2988004709785651,0.0261555384444137,0,0
4,2019,Financial Services,Cost Leadership,1384,37,17.806009311160377,5.6,0,0.022,1,0.09,2508919.3046821454,0.3202,1504967.49,136495.02,52.056276216605994,4.433571649371569,3.698736011018496,0.2968088768503706,0.0637768503677984,0,0
4,2020,Financial Services,Cost Leadership,1423,38,17.806009311160377,5.6,0,0.022,1,-0.294,2159344.0546821454,0.2819,1330270.84,125435.43,59.456276216606,5.003571649371568,3.568736011018496,0.2570899551652364,0.0700513294910439,0,1
4,2021,Financial Services,Cost Leadership,1417,39,17.806009311160377,5.6,0,0.022,1,-0.082,1975338.5446821451,0.0468,1115754.43,54617.83,65.45627621660599,3.2135716493715685,4.858736011018496,0.3055252126242124,0.0339955682507815,0,1
4,2022,Financial Services,Cost Leadership,1602,40,17.806009311160377,5.6,0,0.022,1,-0.07,1858859.744682145,0.0148,1050167.35,108249.87,57.956276216606,4.283571649371568,4.178736011018496,0.2952546764513751,0.0726442215683496,0,1
4,2023,Financial Services,Cost Leadership,1456,41,17.806009311160377,5.6,0,0.022,1,0.06,2463110.274682145,0.057,1438051.72,91196.05,77.45627621660599,2.413571649371568,4.148736011018496,0.3133785230836249,0.0435430559757194,0,1
5,2018,Energy,Differentiation,2378,37,11.306009311160375,3.3,0,0.084,0,0.042,2402804.9246821455,0.0679,1632632.73,93713.6,51.35627621660599,3.543571649371568,2.768736011018496,0.1973616203660878,0.0460716796077343,0,0
5,2019,Energy,Differentiation,2636,38,11.306009311160375,3.3,0,0.084,0,0.031,2500030.5646821456,0.0345,1723337.11,159800.25,51.65627621660599,4.493571649371568,4.488736011018496,0.1914181581058995,0.0749775419622558,0,0
5,2020,Energy,Differentiation,2721,39,11.306009311160375,3.3,0,0.084,0,-0.18,2637514.414682145,0.1881,1755242.02,158012.61,44.15627621660599,3.5935716493715684,4.058736011018496,0.226353944602371,0.0696461405530753,0,1
5,2021,Energy,Differentiation,2635,40,11.306009311160375,3.3,0,0.084,0,0.018,3962231.414682145,0.1975,2832168.87,233874.22,47.556276216605994,4.9835716493715685,3.498736011018496,0.2118653854510258,0.0650824074034264,0,1
5,2022,Energy,Differentiation,2868,41,11.306009311160375,3.3,0,0.084,0,0.047,4153140.1946821455,0.1625,2861537.48,270852.78,62.556276216605994,3.2835716493715683,3.678736011018496,0.2438632284955702,0.0715705274013044,0,1
5,2023,Energy,Differentiation,3209,42,11.306009311160375,3.3,0,0.084,1,-0.092,2340473.4946821453,0.0315,1677025.63,87826.25,72.556276216606,2.9535716493715682,4.238736011018496,0.1494739855937092,0.0445422592454657,0,1
6,2018,Energy,Cost Leadership,2924,35,5.106009311160376,3.9,0,0.044,0,0.105,4044328.6546821455,0.0282,2837106.78,147214.38,46.956276216606,4.333571649371568,5.018736011018496,0.2281254965422317,0.0400517270852749,0,0
6,2019,Energy,Cost Leadership,3125,36,5.106009311160376,3.9,0,0.044,0,0.107,3543503.7046821453,-0.1486,2375274.04,164219.86,43.15627621660599,3.603571649371568,5.008736011018496,0.2518306662341665,0.0517263529084494,0,0
6,2020,Energy,Cost Leadership,3044,37,5.106009311160376,3.9,0,0.044,0,-0.158,3218751.1746821455,0.001,2171776.32,52093.99,32.256276216606,3.9535716493715682,4.208736011018496,0.2379809241296758,0.0182784082101963,0,1
6,2021,Energy,Cost Leadership,3236,38,5.106009311160376,3.9,0,0.044,0,0.143,2987402.0346821453,-0.1269,1964596.48,146816.86,48.056276216605994,3.1735716493715684,3.678736011018496,0.2497759452953633,0.0560652231282644,0,1
6,2022,Energy,Cost Leadership,3295,39,5.106009311160376,3.9,0,0.044,1,-0.021,9773858.374682145,0.2953,7451268.78,664142.62,63.056276216605994,3.3435716493715684,4.408736011018496,0.2077447075643087,0.0706148873651429,0,1
6,2023,Energy,Cost Leadership,3650,40,5.106009311160376,3.9,0,0.044,1,-0.05,3351120.1046821456,-0.0129,2359031.59,112466.75,46.556276216605994,2.643571649371568,3.408736011018496,0.2090150960213644,0.0377101781199713,0,1
7,2018,Retail,Customer Intimacy,8531,31,8.906009311160377,3.9,1,0.13,0,-0.092,9607747.144682145,-0.0091,6408182.23,692264.65,53.256276216606,2.8235716493715683,4.128736011018496,0.3064005798672616,0.0749283248485886,1,0
7,2019,Retail,Customer Intimacy,9267,32,8.906009311160377,3.9,1,0.13,0,0.026,10570850.044682145,0.0211,7721279.6,378029.59,72.756276216606,3.583571649371568,3.638736011018496,0.2431696757592432,0.0370539951917167,1,0
7,2020,Retail,Customer Intimacy,8150,33,8.906009311160377,3.9,1,0.13,0,-0.145,9634456.064682145,0.0542,7511894.49,197067.85,18.056276216605994,4.053571649371568,4.508736011018496,0.1892822810135369,0.0212684560532966,1,1
7,2021,Retail,Customer Intimacy,9159,34,8.906009311160377,3.9,1,0.13,1,-0.179,11431124.224682145,0.1119,7762094.82,299999.37,68.85627621660599,3.8035716493715683,4.358736011018496,0.2983354864311537,0.0271188277009492,1,1
7,2022,Retail,Customer Intimacy,11162,35,8.906009311160377,3.9,1,0.13,1,-0.125,9150419.024682146,-0.0049,5915186.97,340902.65,44.456276216606,4.903571649371568,3.738736011018496,0.3264186638393861,0.0388196795219296,1,1
7,2023,Retail,Customer Intimacy,11688,36,8.906009311160377,3.9,1,0.13,1,-0.046,34713807.05468214,0.2972,24076328.27,621798.47,54.456276216606,4.253571649371568,5.018736011018496,0.2989876575552563,0.0181044383967131,1,1
8,2018,Real Estate,Operational Excellence,3888,15,5.606009311160376,2.3,0,0.038,0,-0.106,4307783.7346821455,0.0445,3013162.86,91462.93,49.956276216606,4.853571649371569,4.098736011018496,0.2350556193543133,0.0232194732218655,1,0
8,2019,Real Estate,Operational Excellence,3620,16,5.606009311160376,2.3,0,0.038,1,-0.074,5375420.254682145,0.2659,4013812.38,238752.57,78.15627621660599,3.3035716493715683,4.588736011018496,0.1983114483466466,0.0476866340341538,0,0
